bID,name,address,cord,numOfReview,rating,zipcode,cuisine
oJ6fy4fBv_3WskxH4NfNBg,Chef Huang Jian Bing & Peking Duck,"635 2nd Ave, New York, NY 10016","40.74531205210646, -73.9757772",75,4.5,10016,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,"199 Grand St, New York, NY 10013","40.719116974367, -73.9968322948353",2378,4.0,10013,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,"75 9th Ave, New York, NY 10011","40.7422762672197, -74.0048000961542",4567,4.0,10011,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao Chelsea,"461 W 23rd St, New York, NY 10011","40.74765439999999, -74.00352547055276",1047,4.5,10011,chinese
FcQA5tV8wlz6jg_UK_s7Hw,Simply Noodles,"267  Amsterdam Ave, New York, NY 10023","40.7788403, -73.98118199999999",120,4.5,10023,chinese
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,"138 W 46th St, New York, NY 10036","40.757889, -73.984009",77,4.5,10036,chinese
_fTRTishY3G5dLPLYGCVAw,Tipsy Shanghai,"594 3rd Ave, New York, NY 10016","40.74879, -73.9761",46,4.0,10016,chinese
M-4J09S14mPsH1EJrnR1Og,Yemen chuanchuan 爺们串串 爷们串串,"105 W27 St, New York, NY 10001","40.745733, -73.99132",20,4.0,10001,chinese
FcXsiSJbk2ZnHyFJMkMK3g,Mala Kitchen,"7 E 47th St, New York, NY 10017","40.756545, -73.977673",33,4.0,10017,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,"258 W 44th St, New York, NY 10036","40.75821, -73.98833",281,4.0,10036,chinese
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,"58 W 56th St, Fl 2, New York, NY 10019","40.763167, -73.977131",2326,4.5,10019,indian
m5Whyz8O8jM4DrE808h71g,Darbar Grill,"157 E 55th St, New York, NY 10022","40.759357, -73.968826",588,4.0,10022,indian
QqrEF8_ZQCGi63cL10J5oA,Chola,"232 E 58th St, New York, NY 10022","40.76016, -73.96582",676,4.0,10022,indian
XLEdQl5s1bO5Iu43W_c96Q,Muna,"152 East 46th St, New York, NY 10017","40.753509, -73.973515",39,4.5,10017,indian
1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019","40.7643344624229, -73.9787312885132",716,4.5,10019,indian
HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016","40.74233, -73.98331",897,4.0,10016,indian
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,"371 W 34th St, New York, NY 10001","40.7534700430117, -73.99595067259492",624,4.5,10001,indian
jf3JRaxUYU93x8LFU-8gkA,GupShup,"115 E18th St, New York, NY 10003","40.7368323318866, -73.9877132715179",687,4.0,10003,indian
Xqk91WuhMeYS4pedccUYgA,Gazab,"179 Essex St, New York, NY 10002","40.72191, -73.98666",255,4.5,10002,indian
jSMfV_e4Jh1DKoCnngOiQQ,Gulaabo,"250 W 47th St, New York, NY 10036","40.759859, -73.986707",16,4.5,10036,indian
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,"150 E 50th St, New York, NY 10022","40.7558937072754, -73.9715347290039",654,4.5,10022,indian
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,"338 E 92nd St, New York, NY 10128","40.78098, -73.94751",1351,4.5,10128,indian
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,"1047 2nd Ave, New York, NY 10022","40.75825, -73.96633",81,4.5,10022,indian
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,"241 W 51st St, New York, NY 10019","40.7626659, -73.9847093",397,4.5,10019,indian
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,"31 Cornelia St, New York, NY 10014","40.73136, -74.00253",276,4.5,10014,indian
5UowQyu8tSljomOP-VL7NA,Tribhaanga,"234 W 56th St, Fl 1, New York, NY 10019","40.765496, -73.982754",61,4.5,10019,indian
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,"1724 2nd Ave, New York, NY 10128","40.78002, -73.94978",623,4.5,10128,indian
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,"1393 A 2nd Ave, New York, NY 10021","40.7693, -73.95823",513,4.5,10021,indian
